n,d,d/n,Matched Fraction
2048,7,0.00341796875,0.927734375
2048,7,0.00341796875,0.9287109375
2048,7,0.00341796875,0.9287109375
2048,7,0.00341796875,0.9375
2048,45,0.02197265625,0.9873046875
2048,45,0.02197265625,0.9873046875
2048,45,0.02197265625,0.9853515625
2048,45,0.02197265625,0.984375
2048,45,0.02197265625,0.9853515625
2048,45,0.02197265625,0.986328125
2048,45,0.02197265625,0.98046875
2048,45,0.02197265625,0.98828125
2048,45,0.02197265625,0.9833984375
2048,45,0.02197265625,0.984375
2048,204,0.099609375,0.99609375
2048,204,0.099609375,0.9970703125
2048,204,0.099609375,0.9970703125
2048,204,0.099609375,0.998046875
2048,204,0.099609375,0.9970703125
2048,204,0.099609375,0.998046875
2048,204,0.099609375,0.9990234375
2048,204,0.099609375,0.9970703125
2048,204,0.099609375,0.99609375
2048,204,0.099609375,0.9970703125
4096,2,0.00048828125,0.87548828125
4096,2,0.00048828125,0.88330078125
4096,2,0.00048828125,0.87255859375
4096,2,0.00048828125,0.87451171875
4096,2,0.00048828125,0.8818359375
4096,2,0.00048828125,0.88134765625
4096,2,0.00048828125,0.87451171875
4096,2,0.00048828125,0.8759765625
4096,2,0.00048828125,0.873046875
4096,2,0.00048828125,0.87158203125
4096,3,0.000732421875,0.88525390625
4096,3,0.000732421875,0.8896484375
4096,3,0.000732421875,0.89794921875
4096,3,0.000732421875,0.88427734375
4096,3,0.000732421875,0.8818359375
4096,3,0.000732421875,0.8876953125
4096,3,0.000732421875,0.8896484375
4096,3,0.000732421875,0.88818359375
4096,3,0.000732421875,0.88916015625
4096,3,0.000732421875,0.89404296875
4096,4,0.0009765625,0.9033203125
4096,4,0.0009765625,0.9052734375
4096,4,0.0009765625,0.9033203125
4096,4,0.0009765625,0.904296875
4096,4,0.0009765625,0.9013671875
4096,4,0.0009765625,0.91162109375
4096,4,0.0009765625,0.9052734375
4096,4,0.0009765625,0.90478515625
4096,4,0.0009765625,0.90625
4096,4,0.0009765625,0.904296875
4096,5,0.001220703125,0.9169921875
4096,5,0.001220703125,0.91357421875
4096,5,0.001220703125,0.91162109375
4096,5,0.001220703125,0.91552734375
4096,5,0.001220703125,0.91015625
4096,5,0.001220703125,0.9111328125
4096,5,0.001220703125,0.91650390625
4096,5,0.001220703125,0.9140625
4096,5,0.001220703125,0.91845703125
4096,5,0.001220703125,0.9150390625
4096,8,0.001953125,0.94189453125
4096,8,0.001953125,0.9384765625
4096,8,0.001953125,0.93896484375
4096,8,0.001953125,0.9404296875
4096,8,0.001953125,0.94091796875
4096,8,0.001953125,0.94384765625
4096,8,0.001953125,0.93798828125
4096,8,0.001953125,0.93603515625
4096,8,0.001953125,0.94580078125
4096,8,0.001953125,0.94091796875
4096,64,0.015625,0.986328125
4096,64,0.015625,0.98681640625
4096,64,0.015625,0.990234375
4096,64,0.015625,0.9912109375
4096,64,0.015625,0.98681640625
4096,64,0.015625,0.990234375
4096,64,0.015625,0.9912109375
4096,64,0.015625,0.98974609375
4096,64,0.015625,0.9912109375
4096,64,0.015625,0.98974609375
4096,409,0.099853515625,0.9990234375
4096,409,0.099853515625,0.9990234375
4096,409,0.099853515625,0.998046875
4096,409,0.099853515625,0.9990234375
4096,409,0.099853515625,0.99853515625
4096,409,0.099853515625,0.99853515625
4096,409,0.099853515625,0.998046875
4096,409,0.099853515625,0.99853515625
4096,409,0.099853515625,0.99853515625
4096,409,0.099853515625,0.99853515625
